date,actual,prediction,error,abs_error,ape
2025-05-16,18.07421875,17.10544620102758,0.9687725489724208,0.9687725489724208,5.359969149274686
2025-05-17,18.09375,19.468678428453785,-1.374928428453785,1.374928428453785,7.59891359421781
2025-05-18,17.8125,18.009526790559654,-0.19702679055965433,0.19702679055965433,1.1061153154226209
2025-05-19,10.21484375,14.12853077835448,-3.913687028354479,3.913687028354479,38.313723872227406
2025-05-20,12.2578125,13.989382523201744,-1.7315700232017441,1.7315700232017441,14.126256403430418
2025-05-21,10.76171875,14.745743309586116,-3.984024559586116,3.984024559586116,37.02033710541001
2025-05-22,12.37109375,15.16301222415235,-2.79191847415235,2.79191847415235,22.568081129870592
2025-05-23,11.80078125,17.00387622119075,-5.203094971190751,5.203094971190751,44.091106012076544
2025-05-24,16.109375,19.749409550103238,-3.6400345501032376,3.6400345501032376,22.595752784345997
2025-05-25,15.21484375,18.115803337118013,-2.900959587118013,2.900959587118013,19.06664067528142
2025-05-26,14.57421875,14.353507970527048,0.22071077947295237,0.22071077947295237,1.5143918398572984
2025-05-27,10.80859375,14.071934832458819,-3.263341082458819,3.263341082458819,30.192096751335658
2025-05-28,7.69921875,14.985697776478311,-7.286479026478311,7.286479026478311,94.63919993802372
2025-05-29,12.7890625,15.296131779791958,-2.507069279791958,2.507069279791958,19.603229554879086
2025-05-30,13.609375,17.281326073420313,-3.6719510734203133,3.6719510734203133,26.981041182422512
2025-05-31,16.671875,19.992440030135295,-3.3205650301352954,3.3205650301352954,19.917166066416016
2025-06-01,17.265625,18.405448532843725,-1.1398235328437245,1.1398235328437245,6.601692859909354
2025-06-02,11.390625,14.493210038204584,-3.102585038204584,3.102585038204584,27.238057948572482
2025-06-03,11.7265625,14.268218798408938,-2.541656298408938,2.541656298408938,21.674350845859035
2025-06-04,11.234375,15.145116130393472,-3.910741130393472,3.910741130393472,34.81049128583897
2025-06-05,10.44921875,15.510109297952983,-5.060890547952983,5.060890547952983,48.43319552433509
2025-06-06,13.23046875,17.49262543554143,-4.262156685541431,4.262156685541431,32.21470656919416
2025-06-07,17.609375,20.296275769527323,-2.6869007695273233,2.6869007695273233,15.258353970696422
2025-06-08,15.859375,18.642852816181836,-2.7834778161818363,2.7834778161818363,17.550993126663794
2025-06-09,11.43359375,14.679569132286524,-3.245975382286524,3.245975382286524,28.38980860489751
2025-06-10,9.70703125,14.423755178577021,-4.7167239285770215,4.7167239285770215,48.59079781552183
2025-06-11,11.69921875,15.34058242363629,-3.64136367363629,3.64136367363629,31.12484475629016
2025-06-12,11.1328125,15.692432431408855,-4.5596199314088555,4.5596199314088555,40.95658605054972
2025-06-13,12.66796875,17.731840248376415,-5.063871498376415,5.063871498376415,39.97382373063096
2025-06-14,17.33203125,20.575553957182052,-3.243522707182052,3.243522707182052,18.714036805017024
