date,actual,prediction,error,abs_error,ape
2025-05-16,18.07421875,14.669611633541535,3.4046071164584646,3.4046071164584646,18.836814821987616
2025-05-17,18.09375,14.056204072647388,4.037545927352612,4.037545927352612,22.31458889037713
2025-05-18,17.8125,14.250972029174669,3.561527970825331,3.561527970825331,19.99454299410712
2025-05-19,10.21484375,13.904289175241091,-3.6894454252410913,3.6894454252410913,36.11847146698736
2025-05-20,12.2578125,14.120672885669615,-1.8628603856696149,1.8628603856696149,15.197331380861105
2025-05-21,10.76171875,13.885061814916819,-3.123343064916819,3.123343064916819,29.022715957121804
2025-05-22,12.37109375,14.069647495730765,-1.6985537457307647,1.6985537457307647,13.730020805401825
2025-05-23,11.80078125,13.895516694918548,-2.0947354449185482,2.0947354449185482,17.750820056244564
2025-05-24,16.109375,14.042953896898673,2.0664211031013267,2.0664211031013267,12.82744428695295
2025-05-25,15.21484375,13.910148967830558,1.3046947821694417,1.3046947821694417,8.57514413954755
2025-05-26,14.57421875,14.025569629825643,0.5486491201743569,0.5486491201743569,3.7645182193684095
2025-05-27,10.80859375,13.923172827669537,-3.1145790776695375,3.1145790776695375,28.81576595169503
2025-05-28,7.69921875,14.012943877998696,-6.313725127998696,6.313725127998696,82.0047505209369
2025-05-29,12.7890625,13.933702320090164,-1.1446398200901644,1.1446398200901644,8.950146424651255
2025-05-30,13.609375,14.003374557498,-0.39399955749800064,0.39399955749800064,2.8950598943595915
2025-05-31,16.671875,13.941976948905479,2.729898051094521,2.729898051094521,16.37427134677126
2025-06-01,17.265625,13.996012005996025,3.2696129940039746,3.2696129940039746,18.93712503314519
2025-06-02,11.390625,13.948420797720743,-2.5577957977207433,2.5577957977207433,22.45527174953739
2025-06-03,11.7265625,13.990318428593167,-2.2637559285931665,2.2637559285931665,19.3045142478298
2025-06-04,11.234375,13.953424004757219,-2.7190490047572187,2.7190490047572187,24.20293968073185
2025-06-05,10.44921875,13.985908002294032,-3.536689252294032,3.536689252294032,33.84644667615971
2025-06-06,13.23046875,13.957304828103213,-0.7268360781032133,0.7268360781032133,5.493653262309495
2025-06-07,17.609375,13.982489612486399,3.6268853875136013,3.6268853875136013,20.596332280467657
2025-06-08,15.859375,13.960314072627812,1.8990609273721883,1.8990609273721883,11.974374320376361
2025-06-09,11.43359375,13.979839622634861,-2.546245872634861,2.546245872634861,22.26986482386486
2025-06-10,9.70703125,13.962647230022482,-4.2556159800224815,4.2556159800224815,43.84055094107667
2025-06-11,11.69921875,13.977785180408903,-2.278566430408903,2.278566430408903,19.476227251575263
2025-06-12,11.1328125,13.964456131782542,-2.8316436317825424,2.8316436317825424,25.43511472759056
2025-06-13,12.66796875,13.976192411939799,-1.3082236619397989,1.3082236619397989,10.327019964742167
2025-06-14,17.33203125,13.965858560327286,3.366172689672714,3.366172689672714,19.421686016592627
