model,latest_RMSE,avg_RMSE,rmse_trend_slope,rmse_trend_delta,final_score
Ensemble_InverseRMSE,2.5224626085196524,2.5224626085196524,,,1.5
Prophet,2.5315264019391157,2.5315264019391157,,,3.0
ARIMA,3.391929048956687,3.391929048956687,,,4.5
