date,actual,prediction,error,abs_error,ape
2025-05-16,18.07421875,19.19244384765625,-1.11822509765625,1.11822509765625,6.186851631726821
2025-05-17,18.09375,22.7437744140625,-4.6500244140625,4.6500244140625,25.69961679620035
2025-05-18,17.8125,21.85394287109375,-4.04144287109375,4.04144287109375,22.688802083333336
2025-05-19,10.21484375,15.50323486328125,-5.28839111328125,5.28839111328125,51.771630019120465
2025-05-20,12.2578125,13.77191162109375,-1.51409912109375,1.51409912109375,12.352115200764818
2025-05-21,10.76171875,15.1583251953125,-4.3966064453125,4.3966064453125,40.85412885662432
2025-05-22,12.37109375,19.0177001953125,-6.6466064453125,6.6466064453125,53.72691032522893
2025-05-23,11.80078125,20.2413330078125,-8.4405517578125,8.4405517578125,71.52536411784178
2025-05-24,16.109375,23.96099853515625,-7.85162353515625,7.85162353515625,48.73946714354995
2025-05-25,15.21484375,23.993896484375,-8.779052734375,8.779052734375,57.70057766367137
2025-05-26,14.57421875,16.70355224609375,-2.12933349609375,2.12933349609375,14.610275395336373
2025-05-27,10.80859375,15.38482666015625,-4.57623291015625,4.57623291015625,42.33883718829057
2025-05-28,7.69921875,16.62255859375,-8.92333984375,8.92333984375,115.89928970065957
2025-05-29,12.7890625,19.6649169921875,-6.8758544921875,6.8758544921875,53.76355375687233
2025-05-30,13.609375,21.847900390625,-8.238525390625,8.238525390625,60.535663030998855
2025-05-31,16.671875,24.80303955078125,-8.13116455078125,8.13116455078125,48.77174613402062
2025-06-01,17.265625,24.15789794921875,-6.89227294921875,6.89227294921875,39.91904694570136
2025-06-02,11.390625,17.13812255859375,-5.74749755859375,5.74749755859375,50.458140432098766
2025-06-03,11.7265625,16.15972900390625,-4.43316650390625,4.43316650390625,37.804484510326446
2025-06-04,11.234375,17.5770263671875,-6.3426513671875,6.3426513671875,56.45753650904033
2025-06-05,10.44921875,20.227783203125,-9.778564453125,9.778564453125,93.58177570093457
2025-06-06,13.23046875,21.59124755859375,-8.36077880859375,8.36077880859375,63.19336802480071
2025-06-07,17.609375,24.6129150390625,-7.0035400390625,7.0035400390625,39.77165594498669
2025-06-08,15.859375,25.2197265625,-9.3603515625,9.3603515625,59.02093596059114
2025-06-09,11.43359375,18.2601318359375,-6.8265380859375,6.8265380859375,59.70597027673386
2025-06-10,9.70703125,17.42083740234375,-7.71380615234375,7.71380615234375,79.46617203219316
2025-06-11,11.69921875,18.7421875,-7.04296875,7.04296875,60.20033388981636
2025-06-12,11.1328125,21.107177734375,-9.974365234375,9.974365234375,89.59429824561404
2025-06-13,12.66796875,22.58123779296875,-9.91326904296875,9.91326904296875,78.25460607462227
2025-06-14,17.33203125,25.45794677734375,-8.12591552734375,8.12591552734375,46.883803808879875
