model,avg_RMSE,avg_MAE,avg_MAPE,avg_Accuracy,avg_Bias,avg_ErrorPct,avg_ErrorStd,lookback_days,window_id,split_idx_global,test_end,latest_RMSE,latest_MAE,latest_MAPE,latest_Accuracy,latest_Bias,latest_ErrorPct,latest_ErrorStd,rmse_trend_slope,rmse_trend_delta,latest_rmse_rank,avg_rmse_rank,final_score
Ensemble_InverseRMSE,2.2447818293172057,1.8346538885900543,14.276498487269345,85.72350151273065,-0.12539944986160792,17.745858885995883,2.241276520023156,45,1,1,2025-03-16,2.2447818293172057,1.8346538885900543,14.276498487269345,85.72350151273065,-0.12539944986160792,17.745858885995883,2.241276520023156,,,1.0,1.0,1.5
XGBoost,2.339328551461142,1.9853199005126954,15.870289614826053,84.12971038517395,0.06298618316650391,18.493286884292758,2.338480449439636,45,1,1,2025-03-16,2.339328551461142,1.9853199005126954,15.870289614826053,84.12971038517395,0.06298618316650391,18.493286884292758,2.338480449439636,,,2.0,2.0,3.0
Prophet,2.5315264019391157,2.1919363956234488,18.72871588257973,81.27128411742027,1.1247771643998514,20.012684399111063,2.267929067268074,45,1,1,2025-03-16,2.5315264019391157,2.1919363956234488,18.72871588257973,81.27128411742027,1.1247771643998514,20.012684399111063,2.267929067268074,,,3.0,3.0,4.5
LinearRegression,3.083653621412417,2.473099286077372,19.899256091760886,80.10074390823911,-0.9429630788108682,24.37746123217672,2.9359394218630332,45,1,1,2025-03-16,3.083653621412417,2.473099286077372,19.899256091760886,80.10074390823911,-0.9429630788108682,24.37746123217672,2.9359394218630332,,,4.0,4.0,6.0
ARIMA,3.391929048956687,2.507721629263991,18.92013272246845,81.07986727753155,-0.7463980682019186,26.814496388009506,3.308787179155023,45,1,1,2025-03-16,3.391929048956687,2.507721629263991,18.92013272246845,81.07986727753155,-0.7463980682019186,26.814496388009506,3.308787179155023,,,5.0,5.0,7.5
