model,latest_RMSE,avg_RMSE,rmse_trend_slope,rmse_trend_delta,final_score
Prophet,1.2268981637525753,2.477764195390138,-0.06081295714181861,-1.6468382378117634,2.0
SARIMA,1.3892284697396287,2.2979224330873467,-0.07668438491148118,-1.0874563321524886,2.5
XGBoost,1.4812685282509805,2.49986060894893,-0.043883216555930527,-0.9843822517110319,4.5
LinearRegression,1.5857011275303994,5.391811048711315,-0.22213550983206545,-1.3764721727974747,7.0
XGBoost_Aggressive,2.404484728784743,2.7234224768450526,-0.06436636045656201,-0.2476458023408208,7.0
ARIMA,2.971955653897431,3.011495228728901,-0.027175390568625737,1.5790427015636403,8.5
