model,latest_RMSE,avg_RMSE,rmse_trend_slope,rmse_trend_delta,final_score
Prophet,1.73069656212106,2.9446813391292936,-0.18299410305174743,-0.8008298398180558,2.0
XGBoost,2.019045128939071,2.762956590101654,-0.11716436515388501,-0.320283422522071,3.5
Ensemble_InverseRMSE,1.9667285469694724,12415785937.791534,-5267303124.081181,-0.2780532823477333,4.0
LinearRegression,2.2061865584033136,55193066105.80762,-23415240164.923794,-0.8774670630091035,6.5
ARIMA,3.349234625495934,3.5248039061078402,-0.06307911789532311,-0.042694423460752695,6.5
