model,latest_RMSE,avg_RMSE,rmse_trend_slope,rmse_trend_delta,final_score
XGBoost_Aggressive,1.770487044485133,2.74056679318993,-0.16802646428050041,-0.665134248877215,2.5
Prophet,1.73069656212106,2.9446813391292936,-0.18299410305174743,-0.8008298398180558,3.0
SARIMA,1.7981843752424178,2.889863322114936,-0.25001323372974527,-0.5901481206034396,4.5
XGBoost,2.019045128939071,2.762956590101654,-0.11716436515388501,-0.320283422522071,5.0
LinearRegression,2.437040309638613,7.14225623478783,-0.6919792650485561,-0.25879025971703706,8.0
ARIMA,3.349234625495934,3.5248039061078402,-0.06307911789532311,-0.042694423460752695,8.5
