model,latest_RMSE,avg_RMSE,rmse_trend_slope,rmse_trend_delta,final_score
Prophet,1.73069656212106,2.9446813391292936,-0.18299410305174743,-0.8008298398180558,2.0
Ensemble_InverseRMSE,2.3078575863183435,2.8920931096473335,-0.09810127123941526,-0.21460502220130895,2.5
ARIMA,3.349234625495934,3.5248039061078402,-0.06307911789532311,-0.042694423460752695,4.5
