model,avg_RMSE,avg_MAE,avg_MAPE,avg_Accuracy,avg_Bias,avg_ErrorPct,avg_ErrorStd,lookback_days,window_id,split_idx_global,test_end,latest_RMSE,latest_MAE,latest_MAPE,latest_Accuracy,latest_Bias,latest_ErrorPct,latest_ErrorStd,rmse_trend_slope,rmse_trend_delta,latest_rmse_rank,avg_rmse_rank,final_score
XGBoost_Aggressive,2.74056679318993,2.091635192235311,14.417492348770438,85.58250765122956,-0.27146526018778483,19.195376618846456,2.473538173640848,45,10,10,2025-11-12,1.770487044485133,1.4544738133748372,10.452930349978926,89.54706965002107,-0.525706926981608,12.815227186456388,1.6906379274147543,-0.16802646428050041,-0.665134248877215,2.0,1.0,2.5
Prophet,2.9446813391292936,2.3849859301287166,17.218186665700053,82.78181333429994,-0.021537151946094044,20.761061847428913,2.1956784744817557,45,10,10,2025-11-12,1.73069656212106,1.4278360539747832,11.206046917564882,88.79395308243512,0.17525312927525843,12.527213742391583,1.721800491002626,-0.18299410305174743,-0.8008298398180558,1.0,4.0,3.0
SARIMA,2.889863322114936,2.32120399918524,17.2527924370444,82.7472075629556,0.6434968908344726,20.247765582861213,2.2441809560240027,45,10,10,2025-11-12,1.7981843752424178,1.5094826897620675,12.188215984039228,87.81178401596077,0.4782420979886172,13.015707380433888,1.7334219172138703,-0.25001323372974527,-0.5901481206034396,3.0,3.0,4.5
XGBoost,2.762956590101654,2.109949909845988,14.803851715815707,85.19614828418429,-0.06343203544616702,19.401956033069425,2.3988996883087013,45,10,10,2025-11-12,2.019045128939071,1.5915438969930014,12.626025277362004,87.373974722638,0.8778765996297201,14.614352648136306,1.8182067837611733,-0.11716436515388501,-0.320283422522071,4.0,2.0,5.0
LinearRegression,7.14225623478783,5.296996492460643,38.58464485056164,61.415355149438355,0.9111156947805661,49.784766026663576,6.764062024064958,45,10,10,2025-11-12,2.437040309638613,1.9587407430013022,16.483863244035888,83.51613675596411,1.125806172688802,17.639906108238737,2.1614175747271185,-0.6919792650485561,-0.25879025971703706,5.0,6.0,8.0
ARIMA,3.5248039061078402,2.8175010708815056,19.87841966424474,80.12158033575527,-0.4220129594746478,24.793921832715803,3.3230003430669983,45,10,10,2025-11-12,3.349234625495934,2.8662179661787004,22.28520981720486,77.71479018279514,0.6438131301576819,24.242596273252193,3.286773072491842,-0.06307911789532311,-0.042694423460752695,6.0,5.0,8.5
