model,latest_RMSE,avg_RMSE,rmse_trend_slope,rmse_trend_delta,final_score
Ensemble_InverseRMSE,2.2447818293172057,2.2447818293172057,,,1.5
XGBoost,2.339328551461142,2.339328551461142,,,3.0
Prophet,2.5315264019391157,2.5315264019391157,,,4.5
LinearRegression,3.083653621412417,3.083653621412417,,,6.0
ARIMA,3.391929048956687,3.391929048956687,,,7.5
